Database Name,Description,URL
Bm2Dx,"diagnostic biomarkers for infectious diseases, user-friendly interface",https://www.bm2dx.org
BMDB,cancer biomarkers and integrates experimental results and scientific conclusions.,https://edrn.nci.nih.gov/data-and-resources/biomarkers/
OncoMX,cancer biomarkers,https://oncomx.org/
CBD,colorectal cancer biomarker,http://sysbio.suda.edu.cn/CBD/
EBD,eye biomarker,http://www.eyeseeworld.com/ebd/index.html
ONS Biomarker Database,cancer biomarkers,https://biomarkers.ons.org/biomarkers/auth/register?redirecturl=
BCSCdb,biomarkers of cancer stem cells,http://dibresources.jcbose.ac.in/ssaha4/bcscdb
LiqBioer,cancer biomarkers in body fluid,http://www.medsysbio.org:8080/LiqBioer/
CMBD,metabolic biomarkers in cancer,http://www.sysbio.org.cn/CMBD/
SalivaDB,salivary gland biomarkers,https://webs.iiitd.edu.in/raghava/salivadb/
GlioMarker:,diagnostic biomarkers in gliomas,http://gliomarker.prophetdb.org/
IDBD,infectious disease biomarkers,http://biomarker.cdc.go.kr/biomarker/index.jsp
Dbmhcc,hepatocellular carcinoma biomarkers,http://predictor.nchu.edu.tw/dBMHCC/
ResMarkerDB,biomarkers of response to antibody therapy in breast and colorectal cancer,http://www.resmarkerdb.org/
Exposome-Explorer,biomarkers of exposure to environmental risk factors for diseases,http://exposome-explorer.iarc.fr/biomarkers
CRC-EBD,epigenetic biomarker database for colorectal cancer,http://www.sysbio.org.cn/EBD/index.html
HFBD,biomarker for heart failure heterogeneity and personalized applications,http://sysbio.org.cn/HFBD/
ExoBCD,exosomal biomarkers in breast cancer,https://exobcd.liumwei.org/
MetaSepsisBase,sepsis biomarkers,http://sysbio.org.cn/sbd/
AlzBiomarker,fluid biomarkers for Alzheimer’s disease.,https://www.alzforum.org/alzbiomarker
COVID-19 Biomarkers Database - Database Commons,COVID-19 biomarkers from publications,https://data.oncomx.org/covid19
BCGene,breast cancer-associated genes and biomarkers,http://soft.bioinfo-minzhao.org/bcgene
EDRN Biomarker Database,resource for various cancer biomarkers,https://edrn.nci.nih.gov/data-and-resources/biomarkers/
